Drug,Amount,Supple,1st day of pay,1st day of fda approval,difference,nda
Bexarotene,42201.4,1,3/3/14,8/12/14,162,ANDA
LYRICA,71798.76,94,1/1/14,4/4/14,94,ANDA
Actemra,259552.4,82,1/2/14,7/16/14,195,BLA
Activase,9500,3,10/24/14,2/13/15,112,BLA
ADCETRIS,144563.23,28,1/9/14,12/6/14,332,BLA
Aranesp,330264.18,62,1/1/14,7/8/14,189,BLA
ARZERRA,324890.23,19,1/8/14,1/4/14,-4,BLA
Avastin,150634.5,68,2/21/14,11/12/14,265,BLA
BENLYSTA,827920.06,148,1/14/14,2/6/14,24,BLA
Blincyto,130788.46,13,1/21/14,12/3/14,316,BLA
BOTOX,1258824.36,372,1/1/14,11/27/14,331,BLA
Cimzia,138196.52,46,1/2/14,6/11/14,160,BLA
COSENTYX,244018.88,41,1/1/14,1/21/15,385,BLA
CYRAMZA,152704.42,14,1/14/14,11/7/14,297,BLA
Enbrel,191496.55,22,1/3/14,10/9/14,279,BLA
ENTYVIO,39165.38,8,5/31/14,5/20/14,-11,BLA
ERBITUX,426197.35,7,1/14/14,3/26/15,436,BLA
GAZYVA,16373.9,9,3/17/14,10/3/14,201,BLA
Granix,94031,1,6/1/14,4/4/14,-58,BLA
Herceptin,94097.51,44,1/3/14,4/21/14,109,BLA
Humira,347426.65,106,1/8/14,7/4/14,178,BLA
ILARIS,100089.31,23,1/1/14,1/26/14,26,BLA
Kadcyla,169234.21,40,1/28/14,4/22/14,84,BLA
KALBITOR,39018,1,5/1/14,6/18/14,48,BLA
Kepivance,1380.08,3,2/27/14,4/21/14,53,BLA
KEYTRUDA,2788920.83,53,1/3/14,4/19/15,471,BLA
KRYSTEXXA,7961.1,7,1/8/14,12/18/14,344,BLA
LEMTRADA,347.1,9,11/22/14,2/1/15,71,BLA
LUMIZYME,2212605.5,53,1/6/14,6/26/14,172,BLA
Neulasta,89846.91,18,1/16/14,7/16/15,547,BLA
Nplate,3172804.24,18,1/6/14,10/5/13,-93,BLA
NULOJIX,182212.1,12,2/12/14,7/7/14,146,BLA
OPDIVO,5750649.82,77,1/2/14,6/1/15,515,BLA
ORENCIA,376714.34,10,1/22/14,6/25/14,155,BLA
Pegasys,44241.02,16,1/13/14,3/10/14,57,BLA
PEGINTRON,149095.12,3,1/23/14,8/25/14,214,BLA
Perjeta,39533.55,15,1/23/14,10/14/14,265,BLA
PLEGRIDY,20173,15,1/30/14,8/15/14,197,BLA
Prolia,157670.48,9,2/6/14,6/24/14,139,BLA
Pulmozyme,28354.2,7,1/2/14,12/12/14,344,BLA
Rebif,8606.21,8,2/20/14,8/8/14,170,BLA
Remicade,155988.27,17,2/3/14,1/24/15,355,BLA
Simponi,18800,15,2/26/14,12/23/13,-65,BLA
SOLIRIS,677730.41,64,1/9/14,6/23/14,165,BLA
Stelara,546561.5,62,1/20/14,10/4/13,-108,BLA
Sylvant,8917.96,5,4/28/14,4/23/14,-5,BLA
TRULICITY,157253.29,14,1/7/14,2/9/15,398,BLA
TYSABRI,771018.46,271,1/27/14,2/14/14,19,BLA
Vectibix,664459.72,9,1/30/14,8/28/14,211,BLA
Vimizim,103304.8,7,1/8/14,2/14/14,37,BLA
XGEVA,848515.38,67,1/2/14,6/24/14,174,BLA
XIAFLEX,280956.37,28,1/7/14,12/19/14,347,BLA
XOLAIR,177039.61,56,1/8/14,6/23/14,167,BLA
YERVOY,432972.47,25,1/2/14,10/17/14,289,BLA
ZALTRAP,1500,1,2/4/14,10/6/14,244,BLA
Abraxane,365407.96,34,2/4/14,4/17/14,73,NDA
ABSTRAL,600,1,4/30/14,3/13/14,-47,NDA
Actos,346415.02,38,1/13/14,9/4/13,-131,NDA
ACZONE,966316.2,150,1/17/14,7/11/14,176,NDA
ADASUVE,5000,1,11/7/14,12/9/13,-333,NDA
AFINITOR,7192497.84,78,1/2/14,7/28/14,207,NDA
ALIMTA,168923.45,6,2/3/14,2/25/14,23,NDA
Amaryl,2000,1,1/14/14,9/7/13,-129,NDA
AmBisome,1313.76,1,8/5/14,9/16/14,42,NDA
Amitiza,25207,4,2/27/14,8/19/13,-192,NDA
AMYVID,41874.42,10,1/20/14,8/14/14,206,NDA
Androgel,164011.5,9,4/30/14,9/14/14,138,NDA
ANGIOMAX,243972.84,3,4/30/14,7/11/14,72,NDA
APIDRA,8255.25,4,2/26/14,3/23/14,26,NDA
Aptiom,89931.59,62,1/31/14,2/28/15,393,NDA
AUBAGIO,617499.53,105,1/9/14,10/17/14,281,NDA
AXIRON,109092,5,1/21/14,4/14/14,84,NDA
Azilect,50039.5,11,4/25/14,10/15/14,173,NDA
BARACLUDE,56452.08,6,1/29/14,11/17/13,-72,NDA
Belviq,1139745.89,750,3/20/14,6/13/14,86,NDA
BOSULIF,153636.78,10,1/15/14,1/14/15,364,NDA
BRILINTA,5991582.67,56,1/22/14,12/3/14,316,NDA
BRINTELLIX,92769.37,23,1/14/14,6/13/14,151,NDA
BYDUREON,517299.18,14,1/10/14,1/14/15,370,NDA
BYETTA,27530,1,9/24/14,7/22/14,-63,NDA
BYSTOLIC,180004.44,4,3/14/14,9/1/14,171,NDA
CANCIDAS,18294.85,7,2/17/14,2/13/14,-4,NDA
Cayston,50629.87,14,1/24/14,10/12/14,261,NDA
CELEBREX,1351831.75,1147,1/13/14,1/27/14,14,NDA
CHANTIX,55088.81,9,1/17/14,9/22/14,249,NDA
CLEVIPREX,9550,2,7/8/14,8/31/14,54,NDA
CLOLAR,432673.2,20,1/7/14,9/15/14,251,NDA
COMETRIQ,793094.97,94,1/22/14,2/28/14,37,NDA
Complera,4370,2,1/30/14,2/27/14,29,NDA
Contrave,7900.2,4,10/27/14,2/9/15,106,NDA
Copaxone,71368,8,1/10/14,7/16/14,187,NDA
Creon,39776.35,32,1/7/14,11/7/14,305,NDA
CUBICIN,1661.23,2,4/24/14,10/6/14,165,NDA
CYMBALTA,144032.7,6,1/21/14,11/24/14,307,NDA
DALIRESP,76009.62,10,1/13/14,3/6/14,52,NDA
DALVANCE,9815,1,10/23/14,8/21/14,-63,NDA
Definity,3141.6,2,1/15/14,8/18/15,580,NDA
Depocyt,157875,5,2/26/14,10/15/14,232,NDA
Dexilant,1007.1,3,2/4/14,4/20/14,75,NDA
DOCETAXEL,1050,2,6/4/14,9/27/14,115,NDA
DULERA,176765,9,1/8/14,7/5/14,178,NDA
Edarbi,3920,1,6/18/14,2/21/14,-117,NDA
EFFIENT,65480.9,10,1/27/14,5/24/14,118,NDA
Egrifta,9266.4,12,2/4/14,3/2/15,391,NDA
ELIQUIS,73419.91,5,3/10/14,8/17/14,160,NDA
ENDOMETRIN,20400,1,8/28/14,11/15/13,-286,NDA
Eovist,4937.63,2,3/17/14,9/20/14,188,NDA
EPZICOM,135,1,4/8/14,7/13/15,461,NDA
Erivedge,42558.64,18,1/8/14,8/19/14,224,NDA
EXJADE,89247.09,15,1/1/14,2/24/14,55,NDA
Exparel,306731.73,21,1/10/14,11/29/14,323,NDA
