id,cancer,diabetes,heart,hip,hiv,liver,lupus
albany medical,328712.16,46907.9,88720.71,1000,0,105060.32,26074.13
albany medical college,51851,0,28588.23,0,0,0,0
albert einstein college of medicine,1114878.5,82281.3,49398.34,0,87872.08,102717.48,0
allergy asthma,63509.53,831.6,33489.93,0,0,13696.66,25363.12
beth israel,50717.4,0,1000,0,0,0,0
biomedical research alliance,2123881.4,244331.41,484128.37,97908.34,164459.8,472720.86,231244.99
clinical research alliance,404376.09,231973.08,8460,247.5,0,0,17628.95
Columbia,16437947.64,970263.36,3052381.11,59856.05,20382.26,2440968.54,44768.27
cornell,7362329.92,838513.4,3898185.23,327697.69,0,1040748.95,1826420.59
icahn school,36418.25,167538.5,6075,0,0,0,0
new york medical college,143590.12,0,0,0,0,0,0
new york oncology,389186.7,1200,213792.52,0,0,80634.24,0
new york university,2718894.62,405493.96,613494.66,81811.49,345,660679.52,2800
osteoporosis,113934.52,2000,81628.9,0,0,0,0
others,44972902.35,6368859.77,22578855.68,495477.4,1474976.54,3821233.64,2033953.53
presbyterian,2668183.51,0,123331.77,0,0,0,1079.25
rochester clinical,288112.27,27441.58,342216.22,0,51495.25,153037,0
Mount Sinai,5715713.86,1017209.76,1126747.75,65206,0,205852.95,336981.84
sloan,27553534.93,499034.47,1403448.18,834254.95,169792.78,4133666.69,41251.92
stony brook university,4620,51965.25,123854,0,0,0,0
suny,1215940.49,155040.64,227332.1,19975,0,164718.07,102590.3
university of buffalo,734434.94,268090,171904.57,0,0,349492.32,0
university of rochester medical center,2442761.62,480911.85,532563.2,239282.01,14065.37,88738.26,26088.98
